124	3458.68	430	4.33	8.04	1683.36	13.09%	Lots=0.04 	MultiLotsFactor=1.1 	StepLots=7 	TakeProfit=22 	TrailStart=52 	TrailStop=41 	MaxOpenOrders=7	SafeEquityRisk=0.5 	Slippage=3 	MagicNumber=2024536
55	3415.60	679	1.78	5.03	4321.80	29.11%	Lots=0.01 	MultiLotsFactor=2.2 	StepLots=27 	TakeProfit=31 	TrailStart=14 	TrailStop=33 	MaxOpenOrders=18	SafeEquityRisk=0.5 	Slippage=3 	MagicNumber=2024536
127	3389.52	604	1.88	5.61	2776.34	24.08%	Lots=0.06 	MultiLotsFactor=1 	StepLots=21 	TakeProfit=10 	TrailStart=60 	TrailStop=35 	MaxOpenOrders=13	SafeEquityRisk=0.5 	Slippage=3 	MagicNumber=2024536
137	3386.70	886	2.18	3.82	3500.30	28.73%	Lots=0.02 	MultiLotsFactor=1.3 	StepLots=21 	TakeProfit=13 	TrailStart=52 	TrailStop=25 	MaxOpenOrders=12	SafeEquityRisk=0.5 	Slippage=3 	MagicNumber=2024536
209	3371.56	782	2.96	4.31	3966.61	27.32%	Lots=0.01 	MultiLotsFactor=2.6 	StepLots=7 	TakeProfit=10 	TrailStart=28 	TrailStop=5 	MaxOpenOrders=5	SafeEquityRisk=0.5 	Slippage=3 	MagicNumber=2024536
186	3250.58	314	3.97	10.35	2551.47	18.00%	Lots=0.05 	MultiLotsFactor=1.1 	StepLots=9 	TakeProfit=40 	TrailStart=24 	TrailStop=7 	MaxOpenOrders=6	SafeEquityRisk=0.5 	Slippage=3 	MagicNumber=2024536
60	3226.53	969	2.26	3.33	3012.60	24.83%	Lots=0.01 	MultiLotsFactor=2.6 	StepLots=29 	TakeProfit=10 	TrailStart=10 	TrailStop=53 	MaxOpenOrders=13	SafeEquityRisk=0.5 	Slippage=3 	MagicNumber=2024536
32	3114.33	246	3.01	12.66	2656.55	18.12%	Lots=0.05 	MultiLotsFactor=1 	StepLots=5 	TakeProfit=40 	TrailStart=38 	TrailStop=47 	MaxOpenOrders=5	SafeEquityRisk=0.5 	Slippage=3 	MagicNumber=2024536
1	3089.57	252	4.58	12.26	3083.22	26.33%	Lots=0.06 	MultiLotsFactor=1.2 	StepLots=21 	TakeProfit=19 	TrailStart=48 	TrailStop=7 	MaxOpenOrders=5	SafeEquityRisk=0.5 	Slippage=3 	MagicNumber=2024536
199	3077.29	338	4.02	9.10	3004.10	25.71%	Lots=0.02 	MultiLotsFactor=2 	StepLots=21 	TakeProfit=19 	TrailStart=24 	TrailStop=49 	MaxOpenOrders=5	SafeEquityRisk=0.5 	Slippage=3 	MagicNumber=2024536
44	3077.29	338	4.02	9.10	3004.10	25.71%	Lots=0.02 	MultiLotsFactor=2 	StepLots=21 	TakeProfit=19 	TrailStart=34 	TrailStop=15 	MaxOpenOrders=5	SafeEquityRisk=0.5 	Slippage=3 	MagicNumber=2024536
98	3045.03	991	3.37	3.07	2368.59	17.91%	Lots=0.02 	MultiLotsFactor=1.3 	StepLots=5 	TakeProfit=10 	TrailStart=38 	TrailStop=37 	MaxOpenOrders=8	SafeEquityRisk=0.5 	Slippage=3 	MagicNumber=2024536
47	3026.20	351	3.44	8.62	1408.61	12.24%	Lots=0.02 	MultiLotsFactor=1.1 	StepLots=23 	TakeProfit=37 	TrailStart=46 	TrailStop=55 	MaxOpenOrders=15	SafeEquityRisk=0.5 	Slippage=3 	MagicNumber=2024536
119	2952.21	942	2.39	3.13	2621.79	19.21%	Lots=0.04 	MultiLotsFactor=1 	StepLots=7 	TakeProfit=10 	TrailStart=44 	TrailStop=35 	MaxOpenOrders=12	SafeEquityRisk=0.5 	Slippage=3 	MagicNumber=2024536
95	2821.07	319	2.82	8.84	3073.66	23.89%	Lots=0.05 	MultiLotsFactor=1.1 	StepLots=9 	TakeProfit=28 	TrailStart=24 	TrailStop=47 	MaxOpenOrders=6	SafeEquityRisk=0.5 	Slippage=3 	MagicNumber=2024536
37	2788.91	825	3.40	3.38	1745.89	15.39%	Lots=0.02 	MultiLotsFactor=1.1 	StepLots=5 	TakeProfit=16 	TrailStart=44 	TrailStop=33 	MaxOpenOrders=11	SafeEquityRisk=0.5 	Slippage=3 	MagicNumber=2024536
131	2517.45	488	7.24	5.16	1019.59	9.28%	Lots=0.01 	MultiLotsFactor=1.5 	StepLots=7 	TakeProfit=34 	TrailStart=22 	TrailStop=43 	MaxOpenOrders=6	SafeEquityRisk=0.5 	Slippage=3 	MagicNumber=2024536
192	2511.16	571	3.18	4.40	2326.30	17.52%	Lots=0.06 	MultiLotsFactor=1 	StepLots=5 	TakeProfit=10 	TrailStart=44 	TrailStop=17 	MaxOpenOrders=6	SafeEquityRisk=0.5 	Slippage=3 	MagicNumber=2024536
116	2406.52	1420	2.88	1.69	1981.95	17.12%	Lots=0.02 	MultiLotsFactor=1 	StepLots=5 	TakeProfit=10 	TrailStart=10 	TrailStop=5 	MaxOpenOrders=15	SafeEquityRisk=0.5 	Slippage=3 	MagicNumber=2024536
93	2353.83	240	5.82	9.81	2121.73	18.68%	Lots=0.02 	MultiLotsFactor=1.3 	StepLots=17 	TakeProfit=34 	TrailStart=60 	TrailStop=29 	MaxOpenOrders=7	SafeEquityRisk=0.5 	Slippage=3 	MagicNumber=2024536
48	2353.83	240	5.82	9.81	2121.73	18.68%	Lots=0.02 	MultiLotsFactor=1.3 	StepLots=17 	TakeProfit=34 	TrailStart=44 	TrailStop=45 	MaxOpenOrders=7	SafeEquityRisk=0.5 	Slippage=3 	MagicNumber=2024536
188	2352.91	645	3.95	3.65	1706.62	14.75%	Lots=0.01 	MultiLotsFactor=1.1 	StepLots=11 	TakeProfit=28 	TrailStart=32 	TrailStop=53 	MaxOpenOrders=17	SafeEquityRisk=0.5 	Slippage=3 	MagicNumber=2024536
134	2352.91	645	3.95	3.65	1706.62	14.75%	Lots=0.01 	MultiLotsFactor=1.1 	StepLots=11 	TakeProfit=28 	TrailStart=32 	TrailStop=61 	MaxOpenOrders=17	SafeEquityRisk=0.5 	Slippage=3 	MagicNumber=2024536
61	2352.91	645	3.95	3.65	1706.62	14.75%	Lots=0.01 	MultiLotsFactor=1.1 	StepLots=11 	TakeProfit=28 	TrailStart=38 	TrailStop=45 	MaxOpenOrders=17	SafeEquityRisk=0.5 	Slippage=3 	MagicNumber=2024536
14	2267.69	200	3.96	11.34	2313.37	20.45%	Lots=0.03 	MultiLotsFactor=1.3 	StepLots=31 	TakeProfit=37 	TrailStart=32 	TrailStop=27 	MaxOpenOrders=6	SafeEquityRisk=0.5 	Slippage=3 	MagicNumber=2024536
103	2244.88	736	3.14	3.05	1919.93	14.96%	Lots=0.04 	MultiLotsFactor=1 	StepLots=5 	TakeProfit=10 	TrailStart=48 	TrailStop=33 	MaxOpenOrders=8	SafeEquityRisk=0.5 	Slippage=3 	MagicNumber=2024536
43	2237.96	126	7.52	17.76	2344.49	19.88%	Lots=0.06 	MultiLotsFactor=1 	StepLots=15 	TakeProfit=37 	TrailStart=40 	TrailStop=49 	MaxOpenOrders=5	SafeEquityRisk=0.5 	Slippage=3 	MagicNumber=2024536
7	2214.93	126	4.37	17.58	2530.30	22.08%	Lots=0.05 	MultiLotsFactor=1.1 	StepLots=27 	TakeProfit=40 	TrailStart=38 	TrailStop=27 	MaxOpenOrders=6	SafeEquityRisk=0.5 	Slippage=3 	MagicNumber=2024536
175	2199.57	782	1.93	2.81	594.69	5.66%	Lots=0.02 	MultiLotsFactor=1.3 	StepLots=17 	TakeProfit=34 	TrailStart=10 	TrailStop=41 	MaxOpenOrders=7	SafeEquityRisk=0.5 	Slippage=3 	MagicNumber=2024536
80	2108.32	408	2.01	5.17	3110.94	25.87%	Lots=0.01 	MultiLotsFactor=1.6 	StepLots=27 	TakeProfit=40 	TrailStart=28 	TrailStop=49 	MaxOpenOrders=19	SafeEquityRisk=0.5 	Slippage=3 	MagicNumber=2024536
106	2092.64	571	3.18	3.66	1938.58	15.22%	Lots=0.05 	MultiLotsFactor=1 	StepLots=5 	TakeProfit=10 	TrailStart=24 	TrailStop=47 	MaxOpenOrders=6	SafeEquityRisk=0.5 	Slippage=3 	MagicNumber=2024536
76	2084.37	497	2.24	4.19	3044.89	22.37%	Lots=0.04 	MultiLotsFactor=1.1 	StepLots=5 	TakeProfit=16 	TrailStart=22 	TrailStop=19 	MaxOpenOrders=7	SafeEquityRisk=0.5 	Slippage=3 	MagicNumber=2024536
144	2071.34	631	5.57	3.28	818.54	7.55%	Lots=0.01 	MultiLotsFactor=1 	StepLots=5 	TakeProfit=40 	TrailStart=42 	TrailStop=37 	MaxOpenOrders=20	SafeEquityRisk=0.5 	Slippage=3 	MagicNumber=2024536
70	1995.97	587	5.82	3.40	1503.22	13.67%	Lots=0.02 	MultiLotsFactor=1 	StepLots=7 	TakeProfit=19 	TrailStart=28 	TrailStop=55 	MaxOpenOrders=10	SafeEquityRisk=0.5 	Slippage=3 	MagicNumber=2024536
